1	1	971.0
1	2	41.0
1	3	15.0
1	4	2.0
1	6	21.0
1	9	7.0
1	10	2.0
1	14	1.0
1	18	6.0
1	24	1.0
1	29	19.0
1	30	31.0
1	31	14.0
1	32	7.0
1	38	4.0
1	42	12.0
2	2	1793.0
2	3	3.0
2	4	4.0
2	5	5.0
2	6	2.0
2	8	3.0
2	9	19.0
2	10	1.0
2	13	9.0
2	14	7.0
2	18	78.0
2	19	4.0
2	21	9.0
2	24	1.0
2	29	21.0
2	30	91.0
2	31	15.0
2	32	14.0
2	33	7.0
2	34	10.0
2	35	9.0
2	36	141.0
2	37	4.0
2	38	1.0
2	40	15.0
2	41	1.0
2	42	8.0
2	44	9.0
2	45	3.0
3	3	375.0
3	4	20.0
3	5	2.0
3	6	3.0
3	8	1.0
3	9	17.0
3	10	3.0
3	12	8.0
3	14	1.0
3	18	4.0
3	42	2.0
4	4	457.0
4	5	11.0
4	6	11.0
4	11	26.0
4	12	14.0
4	14	10.0
4	18	5.0
4	19	13.0
4	21	13.0
4	27	1.0
4	28	66.0
4	38	3.0
4	39	4.0
4	44	7.0
5	5	1113.0
5	6	18.0
5	8	4.0
5	9	3.0
5	10	3.0
5	14	60.0
5	15	1.0
5	19	2.0
5	21	19.0
5	24	6.0
5	29	1.0
5	30	4.0
5	32	17.0
5	33	7.0
5	34	21.0
5	35	57.0
5	38	14.0
5	42	2.0
5	44	1.0
5	45	2.0
6	6	1319.0
6	11	1.0
6	13	35.0
6	14	20.0
6	15	48.0
6	16	12.0
6	19	144.0
6	20	63.0
6	21	39.0
6	23	8.0
6	24	61.0
6	25	29.0
6	26	1.0
6	27	27.0
6	28	13.0
6	29	1.0
6	30	9.0
6	32	15.0
6	34	1.0
6	35	10.0
6	38	2.0
6	42	2.0
7	7	127.0
7	37	2.0
8	8	315.0
8	10	5.0
8	12	4.0
8	14	6.0
8	30	7.0
8	33	3.0
8	35	9.0
8	44	5.0
9	9	321.0
9	10	2.0
9	14	3.0
9	29	12.0
9	31	5.0
9	32	17.0
9	34	4.0
9	36	111.0
9	38	6.0
9	40	4.0
9	41	4.0
9	44	2.0
9	45	9.0
10	10	89.0
10	12	7.0
10	13	2.0
10	14	3.0
10	23	2.0
10	33	2.0
10	35	2.0
11	11	124.0
11	14	5.0
11	28	17.0
12	12	116.0
12	14	1.0
13	13	124.0
13	16	3.0
13	19	6.0
13	20	31.0
13	21	32.0
